ID	SENTENCE	HEAD WORD	DEPENDENT WORD	RELATION	CORRECT?
853	Next came a stay of at least several months , or possibly years , with Rufinus at Aquileia , where he made many Christian friends .	months	years	conj
2008	Gorbachev also proposed a nuclear free weapons zone in the region , but the U.S would n’t consider that .	consider	that	obj
2916	The case on which the Court has ruled was of the religious schools Santo Spirito and Immacolata in Livorno , Tuscany , to pay over 422,000 euros in arrears for the period from 2004 to 2009 .	period	to	nmod
4034	Throw away or donate junk you do n't want to take to your new place .	take	place	obl
1528	I was no stranger to the taunts and insults , or the foot that appears from nowhere to trip you up en route from A to B .	appears	that	nsubj
232	however , in the study by Hein and colleagues it was found that children responded more or less frequently based on factors such as stimuli type .	found	study	obl
3585	Reality hurts when it intrudes ; as such , an arrogant person is less likely than other people to self-reflect or analyse , thereby not seeing their own imperfections .	such	as	case
2245	For our readers who are unaware of your site , could you briefly explain what wikiHow is ?	explain	what	ccomp
381	Longer limbs are expected to experience larger bending and torsional moments , so the fact that experimental animals had longer femora suggests that limb verticalization reduces these moments by orienting the bone more parallel to the GRF line of action .	experience	to	mark
1291	The rocking chair , the watering can , boxes of cuttings , and tied-up newspapers , all floated away as we slammed the kitchen door shut and retreated to the front room we gazed out at the river that the street had become .	become	that	obj
1191	I gently try to take them .	take	them	obj
3558	Therefore , if you are staying overnight in York and arriving by car , make sure that your hotel offers parking before you book .	make	sure	compound:prt
3699	If you want to plant the basil in a container , make sure it 's large enough to accommodate the number of plants you 're growing ;	make	sure	compound:prt
3966	In other words , make sure that you follow the same guidelines .	make	sure	compound:prt
3119	Come and see Manakau , the property of his descendants , located on the eastern corner of Rekohu and blessed with the sun 's first rays as they rise above the sea each day .	day	each	det
149	With respect to the contributions of digital games to improvement of cognitive processes , researchers suggest that regular practice has a significant influence on improving the performance related to basic visual skills ( Li , Polat , Scalzo , & Bavelier , 2010 ) ; on the ability to perceive objects simultaneously ( Dye & Bavelier , 2010 ; Feng , Spence , & Pratt , 2007 ) ; and on the ability to do more than one task at the same time ( Boot , Kramer , Simons , Fabiani , & Gratton , 2008 ) .	one	more	advmod
2519	But if somebody wakes up one morning and suddenly no longer is funny , then yeah , head first , out the door as quickly as possible , and as sadistically as possible .	possible	as	mark
2519	But if somebody wakes up one morning and suddenly no longer is funny , then yeah , head first , out the door as quickly as possible , and as sadistically as possible .	possible	as	mark
2633	The short answer is that we do n't know .	know	that	mark
2646	When people are searching using the virtual microscope , they will be looking not for the particles , but for the tracks that the particles make , which are much larger — several microns in diameter .	make	that	obj
3862	On the other hand , this is n't to say that you should necessarily make jokes at other people 's expense , as this can make you seem mean and petty .	make	that	mark
480	Born in Tianjin with ancestry in Changzhou , Jiangsu province , Chao went to the United States with a Boxer Indemnity Scholarship in 1910 to study mathematics and physics at Cornell University , where he was a classmate and lifelong friend of Hu Shih , the leader of the New Culture Movement .	States	United	compound
491	Chao taught mathematics at Tsinghua University and , one year later , returned to the United States to teach at Harvard .	States	United	compound
2050	In a 2003 interview with the Associated Press , Rick Santorum compared legalizing same-sex marriage in the United States to supporting bestiality .	States	United	compound
3122	You ll find world-class museums and cultural events , professional sports and amusement parks , and the most golf courses per capita in the United States .	States	United	compound
3127	Cleveland is the urban center of Northeast Ohio , the 15th largest combined metropolitan area in the United States .	States	United	compound
531	He achieved some fame as an architect by redesigning the City Hall in New York for the First Congress of the United States ( See : Federal Hall ) .	Congress	States	nmod
587	Around 4 July 1831 , Poisson declared Galois ' work " incomprehensible " , declaring that " [ Galois ' ] argument is neither sufficiently clear nor sufficiently developed to allow us to judge its rigor " ; however , the rejection report ends on an encouraging note : " We would then suggest that the author should publish the whole of his work in order to form a definitive opinion . " [ 16 ]	form	in	mark
1058	Finally , Pachomius called on him to preach to the brothers despite his youth , and eventually appointed him steward of Tabennese after several new monasteries had been built .	built	been	aux:pass
591	Galois ' fatal duel took place on 30 May . [ 17 ]	took	17	dep
2175	The hardest thing in running this business , which is why people ca n't do it , is the relationship that my wife has with the gals and with the customers .	has	that	obj
3102	One of only two National Historic Scenic Reserves in New Zealand ( the other is the Waitangi Treaty Grounds ) , Hapupu is a special place , and somewhere that you will want to tell others about .	tell	that	obl
1742	And they have to tell you where it is if you catch them ? ”	tell	you	iobj
1768	“ And it was n’t pleasant I can tell you . ”	tell	you	iobj
1015	Padalecki originally auditioned for Welling 's role , but gave it up in order to film a pilot titled Young MacGyver which was never picked up . [ 8 ]	picked	which	nsubj:pass
2895	I went back the next Tuesday night and there was almost no one there , just a few stray photographers taking advantage of the unimpeded views of the lanterns .	went	back	compound:prt
3214	Audio-visual displays , detailed exhibits , gives visitors a sense of what this town was like centuries ago .	was	what	obl
1861	Most versions in English are called The Chemical Wedding of Christian Rosencreutz , which suggests ( and most people who ’ve heard of it suppose ) that the wedding is Christian ’s .	heard	it	obl
3292	The population of Łódź soared from some 4,000 people in the 1830s and 40,000 in 1865 to over 300,000 inhabitants at the turn of the century , which was an unprecedented growth on a worldwide scale .	turn	at	case
2895	I went back the next Tuesday night and there was almost no one there , just a few stray photographers taking advantage of the unimpeded views of the lanterns .	was	there	advmod
2159	We hire the opposite of what you 'd think we would hire , what the average person would think we would hire .	think	what	obj
2469	Writers will occasionally write their own headlines , but we come up with a list of 15 or 20 headline ideas , what we think will make a good story and then we assign it based upon what people ’s writing strengths are .	think	what	obj
2022	So I think the first question is , what is this all about , why should we even be debating NATO , is there any reason why it should exist ?	think	what	ccomp
1277	And with it , the rain .	rain	it	nmod
